full_date,year,month,quarter,weekday,store_id,store_name,product_id,product_name,total_revenue,total_orders,avg_order_value,lag_1,lag_7,rolling_avg_7,Actual Revenue,Predicted Revenue
2026-08-19,2026,8,3,2,110.0,Kochi Store,1018.0,Projector,324855.76,474.0,685.35,284011.25,256727.59,222441.26,324855.76,216949.04409999997
2026-08-20,2026,8,3,3,106.0,Pune Store,1004.0,Keyboard,306321.97,438.0,699.37,324855.76,199067.97,237763.26,306321.97,207812.85460000005
2026-08-21,2026,8,3,4,101.0,Bangalore Store,1016.0,Router,161941.37,304.0,532.7,306321.97,234363.55,227417.24,161941.37,211567.5385999999
2026-08-22,2026,8,3,5,102.0,Hyderabad Store,1009.0,Mobile,245323.23,475.0,516.47,161941.37,119458.42,245397.93,245323.23,261787.42310000016
2026-08-23,2026,8,3,6,104.0,Mumbai Store,1016.0,Router,268219.12,447.0,600.04,245323.23,295655.75,241478.41,268219.12,281285.2302999999
2026-08-24,2026,8,3,0,106.0,Pune Store,1017.0,UPS,207680.26,358.0,580.11,268219.12,99676.15,256907.57,207680.26,189418.66360000012
2026-08-25,2026,8,3,1,109.0,Jaipur Store,1002.0,Desktop,261477.91,375.0,697.27,207680.26,284011.25,253688.52,261477.91,256163.61569999994
2026-08-26,2026,8,3,2,101.0,Bangalore Store,1015.0,Hard Disk,280573.39,504.0,556.69,261477.91,324855.76,247362.46,280573.39,227867.0738999999
2026-08-27,2026,8,3,3,101.0,Bangalore Store,1002.0,Desktop,172558.59,303.0,569.5,280573.39,306321.97,228253.41,172558.59,192232.13969999994
2026-08-28,2026,8,3,4,106.0,Pune Store,1020.0,Microphone,337269.23,586.0,575.54,172558.59,161941.37,253300.25,337269.23,267354.31850000017
2026-08-29,2026,8,3,5,107.0,Kolkata Store,1001.0,Laptop,227004.3,427.0,531.63,337269.23,245323.23,250683.26,227004.3,260251.35900000003
2026-08-30,2026,8,3,6,104.0,Mumbai Store,1018.0,Projector,233548.99,404.0,578.09,227004.3,268219.12,245730.38,233548.99,266525.13449999987
2026-08-31,2026,8,3,0,110.0,Kochi Store,1001.0,Laptop,236827.49,424.0,558.56,233548.99,207680.26,249894.27,236827.49,248037.92340000003
2026-09-01,2026,9,3,1,103.0,Chennai Store,1006.0,Printer,305122.34,440.0,693.46,236827.49,261477.91,256129.19,305122.34,254907.05720000004
2026-09-02,2026,9,3,2,105.0,Delhi Store,1016.0,Router,152698.42,221.0,690.94,305122.34,280573.39,237861.34,152698.42,203552.37720000022
2026-09-03,2026,9,3,3,103.0,Chennai Store,1019.0,Webcam,112263.98,190.0,590.86,152698.42,172558.59,229247.82,112263.98,267602.6836
2026-09-04,2026,9,3,4,104.0,Mumbai Store,1004.0,Keyboard,184347.04,300.0,614.49,112263.98,337269.23,207401.79,184347.04,246602.51539999974
2026-09-05,2026,9,3,5,109.0,Jaipur Store,1005.0,Mouse,155231.65,223.0,696.11,184347.04,227004.3,197148.56,155231.65,193674.46709999998
2026-09-06,2026,9,3,6,102.0,Hyderabad Store,1016.0,Router,349202.36,611.0,571.53,155231.65,233548.99,213670.47,349202.36,262578.18780000013
2026-09-07,2026,9,3,0,101.0,Bangalore Store,1017.0,UPS,144972.09,225.0,644.32,349202.36,236827.49,200548.27,144972.09,157419.73330000002
2026-09-08,2026,9,3,1,106.0,Pune Store,1001.0,Laptop,284010.45,460.0,617.41,144972.09,305122.34,197532.28,284010.45,222900.73369999984
2026-09-09,2026,9,3,2,108.0,Ahmedabad Store,1001.0,Laptop,175638.01,252.0,696.98,284010.45,152698.42,200809.37,175638.01,166667.12730000005
2026-09-10,2026,9,3,3,102.0,Hyderabad Store,1015.0,Hard Disk,287272.4,421.0,682.36,175638.01,112263.98,225810.57,287272.4,215008.88179999992
2026-09-11,2026,9,3,4,107.0,Kolkata Store,1015.0,Hard Disk,207958.51,321.0,647.85,287272.4,184347.04,229183.64,207958.51,240540.6911
2026-09-12,2026,9,3,5,108.0,Ahmedabad Store,1018.0,Projector,430738.27,767.0,561.59,207958.51,155231.65,268541.73,430738.27,302131.84250000026
2026-09-13,2026,9,3,6,110.0,Kochi Store,1017.0,UPS,198453.82,341.0,581.98,430738.27,349202.36,247006.22,198453.82,265101.65830000007
2026-09-14,2026,9,3,0,110.0,Kochi Store,1020.0,Microphone,161853.3,256.0,632.24,198453.82,144972.09,249417.82,161853.3,232179.35619999998
2026-09-15,2026,9,3,1,110.0,Kochi Store,1002.0,Desktop,149601.28,286.0,523.08,161853.3,284010.45,230216.51,149601.28,206844.5271000001
2026-09-16,2026,9,3,2,110.0,Kochi Store,1006.0,Printer,265479.29,511.0,519.53,149601.28,175638.01,243050.98,265479.29,258332.2523000002
2026-09-17,2026,9,3,3,109.0,Jaipur Store,1020.0,Microphone,244740.35,372.0,657.9,265479.29,287272.4,236974.97,244740.35,221637.24430000008
2026-09-18,2026,9,3,4,105.0,Delhi Store,1002.0,Desktop,185155.63,363.0,510.07,244740.35,207958.51,233717.42,185155.63,236666.6513
2026-09-19,2026,9,3,5,109.0,Jaipur Store,1001.0,Laptop,279794.41,501.0,558.47,185155.63,430738.27,212154.01,279794.41,218114.11269999988
2026-09-20,2026,9,3,6,102.0,Hyderabad Store,1004.0,Keyboard,191055.69,346.0,552.18,279794.41,198453.82,211097.14,191055.69,255120.39250000007
2026-09-21,2026,9,3,0,106.0,Pune Store,1019.0,Webcam,159652.97,266.0,600.2,191055.69,161853.3,210782.8,159652.97,182362.2833000001
2026-09-22,2026,9,3,1,102.0,Hyderabad Store,1013.0,Camera,98039.39,193.0,507.98,159652.97,149601.28,203416.82,98039.39,180093.20049999986
2026-09-23,2026,9,3,2,101.0,Bangalore Store,1009.0,Mobile,290604.88,508.0,572.06,98039.39,265479.29,207006.19,290604.88,189187.95939999993
2026-09-24,2026,9,3,3,110.0,Kochi Store,1006.0,Printer,155750.9,296.0,526.19,290604.88,244740.35,194293.41,155750.9,193499.66059999992
2026-09-25,2026,9,3,4,106.0,Pune Store,1018.0,Projector,217383.14,333.0,652.8,155750.9,185155.63,198897.34,217383.14,255073.04850000006
2026-09-26,2026,9,3,5,104.0,Mumbai Store,1009.0,Mobile,345155.16,668.0,516.7,217383.14,279794.41,208234.59,345155.16,216948.03859999988
2026-09-27,2026,9,3,6,109.0,Jaipur Store,1009.0,Mobile,259523.96,424.0,612.08,345155.16,191055.69,218015.77,259523.96,248966.77429999993
2026-09-28,2026,9,3,0,105.0,Delhi Store,1015.0,Hard Disk,110660.86,181.0,611.39,259523.96,159652.97,211016.9,110660.86,186101.4821000001
2026-09-29,2026,9,3,1,105.0,Delhi Store,1011.0,Headphones,97427.95,143.0,681.31,110660.86,98039.39,210929.55,97427.95,207161.5687000001
2026-09-30,2026,9,3,2,103.0,Chennai Store,1001.0,Laptop,134497.42,211.0,637.43,97427.95,290604.88,188628.48,134497.42,187774.34349999993
2026-10-01,2026,10,4,3,102.0,Hyderabad Store,1006.0,Printer,225251.93,391.0,576.09,134497.42,155750.9,198557.2,225251.93,220854.28610000006
2026-10-02,2026,10,4,4,108.0,Ahmedabad Store,1014.0,SSD,221948.32,358.0,619.97,225251.93,217383.14,199209.37,221948.32,201920.11620000002
2026-10-03,2026,10,4,5,108.0,Ahmedabad Store,1019.0,Webcam,302321.7,477.0,633.8,221948.32,345155.16,193090.31,302321.7,211498.80649999986
2026-10-04,2026,10,4,6,109.0,Jaipur Store,1007.0,Scanner,233199.91,401.0,581.55,302321.7,259523.96,189329.73,233199.91,212693.2489
2026-10-05,2026,10,4,0,108.0,Ahmedabad Store,1002.0,Desktop,185334.71,277.0,669.08,233199.91,110660.86,199997.42,185334.71,194819.27669999987
2026-10-06,2026,10,4,1,104.0,Mumbai Store,1018.0,Projector,374114.21,723.0,517.45,185334.71,97427.95,239524.03,374114.21,234975.6959000001
2026-10-07,2026,10,4,2,102.0,Hyderabad Store,1011.0,Headphones,173687.97,310.0,560.28,374114.21,134497.42,245122.68,173687.97,226336.16670000018
2026-10-08,2026,10,4,3,106.0,Pune Store,1004.0,Keyboard,153720.4,231.0,665.46,173687.97,225251.93,234903.89,153720.4,245562.5322
2026-10-09,2026,10,4,4,102.0,Hyderabad Store,1001.0,Laptop,182711.58,309.0,591.3,153720.4,221948.32,229298.64,182711.58,280926.2848
2026-10-10,2026,10,4,5,105.0,Delhi Store,1018.0,Projector,454202.64,850.0,534.36,182711.58,302321.7,250995.92,454202.64,280497.3553999999
2026-10-11,2026,10,4,6,104.0,Mumbai Store,1005.0,Mouse,306576.24,552.0,555.39,454202.64,233199.91,261478.25,306576.24,324848.69299999985
2026-10-12,2026,10,4,0,110.0,Kochi Store,1020.0,Microphone,379943.36,715.0,531.39,306576.24,185334.71,289279.49,379943.36,245119.55800000002
2026-10-13,2026,10,4,1,107.0,Kolkata Store,1005.0,Mouse,193122.86,346.0,558.16,379943.36,374114.21,263423.58,193122.86,281570.5274999999
2026-10-14,2026,10,4,2,107.0,Kolkata Store,1016.0,Router,159807.94,316.0,505.72,193122.86,173687.97,261440.72,159807.94,258427.4142000002
2026-10-15,2026,10,4,3,103.0,Chennai Store,1013.0,Camera,155976.85,271.0,575.56,159807.94,153720.4,261763.07,155976.85,280636.1920000003
2026-10-16,2026,10,4,4,107.0,Kolkata Store,1016.0,Router,260911.36,494.0,528.16,155976.85,182711.58,272934.46,260911.36,294623.5681000002
2026-10-17,2026,10,4,5,105.0,Delhi Store,1013.0,Camera,289668.56,445.0,650.94,260911.36,454202.64,249429.6,289668.56,240764.8702999999
2026-10-18,2026,10,4,6,101.0,Bangalore Store,1008.0,Tablet,353836.47,684.0,517.3,289668.56,306576.24,256181.06,353836.47,291482.1464999999
2026-10-19,2026,10,4,0,106.0,Pune Store,1001.0,Laptop,199677.98,321.0,622.05,353836.47,379943.36,230428.86,199677.98,171900.48289999992
2026-10-20,2026,10,4,1,110.0,Kochi Store,1015.0,Hard Disk,143272.29,271.0,528.68,199677.98,193122.86,223307.35,143272.29,215500.9462
2026-10-21,2026,10,4,2,107.0,Kolkata Store,1015.0,Hard Disk,168356.74,269.0,625.86,143272.29,159807.94,224528.61,168356.74,233668.00070000003
2026-10-22,2026,10,4,3,108.0,Ahmedabad Store,1008.0,Tablet,279921.52,406.0,689.46,168356.74,155976.85,242234.99,279921.52,274519.4560000002
2026-10-23,2026,10,4,4,101.0,Bangalore Store,1019.0,Webcam,232184.72,335.0,693.09,279921.52,260911.36,238131.18,232184.72,235547.25360000003
2026-10-24,2026,10,4,5,102.0,Hyderabad Store,1002.0,Desktop,379861.56,641.0,592.61,232184.72,289668.56,251015.9,379861.56,277466.75569999986
2026-10-25,2026,10,4,6,101.0,Bangalore Store,1007.0,Scanner,296604.9,522.0,568.21,379861.56,353836.47,242839.96,296604.9,227584.16090000008
2026-10-26,2026,10,4,0,110.0,Kochi Store,1017.0,UPS,335174.8,607.0,552.18,296604.9,199677.98,262196.65,335174.8,258061.89579999997
2026-10-27,2026,10,4,1,101.0,Bangalore Store,1017.0,UPS,351490.76,557.0,631.04,335174.8,143272.29,291942.14,351490.76,221991.5871000002
2026-10-28,2026,10,4,2,105.0,Delhi Store,1011.0,Headphones,190234.94,290.0,655.98,351490.76,168356.74,295067.6,190234.94,244395.1415000003
2026-10-29,2026,10,4,3,109.0,Jaipur Store,1001.0,Laptop,325219.8,535.0,607.89,190234.94,279921.52,301538.78,325219.8,305023.38830000005
2026-10-30,2026,10,4,4,103.0,Chennai Store,1009.0,Mobile,252870.13,364.0,694.7,325219.8,232184.72,304493.84,252870.13,279530.8904000001
2026-10-31,2026,10,4,5,109.0,Jaipur Store,1013.0,Camera,146910.04,277.0,530.36,252870.13,379861.56,271215.05,146910.04,344504.6023
2026-11-01,2026,11,4,6,109.0,Jaipur Store,1008.0,Tablet,205383.76,323.0,635.86,146910.04,296604.9,258183.46,205383.76,318446.7393
2026-11-02,2026,11,4,0,106.0,Pune Store,1006.0,Printer,284658.2,492.0,578.57,205383.76,335174.8,250966.8,284658.2,217277.8306
2026-11-03,2026,11,4,1,104.0,Mumbai Store,1017.0,UPS,209332.5,362.0,578.27,284658.2,351490.76,230658.48,209332.5,166284.92909999986
2026-11-04,2026,11,4,2,104.0,Mumbai Store,1010.0,Smart Watch,193004.19,342.0,564.34,209332.5,190234.94,231054.09,193004.19,198424.93819999992
2026-11-05,2026,11,4,3,108.0,Ahmedabad Store,1004.0,Keyboard,347324.53,583.0,595.75,193004.19,325219.8,234211.91,347324.53,186853.28720000002
2026-11-06,2026,11,4,4,102.0,Hyderabad Store,1017.0,UPS,314271.78,561.0,560.2,347324.53,252870.13,242983.57,314271.78,254746.73250000007
2026-11-07,2026,11,4,5,108.0,Ahmedabad Store,1015.0,Hard Disk,299897.58,538.0,557.43,314271.78,146910.04,264838.93,299897.58,292421.05430000013
2026-11-08,2026,11,4,6,105.0,Delhi Store,1016.0,Router,507250.88,848.0,598.17,299897.58,205383.76,307962.81,507250.88,290829.9786999998
2026-11-09,2026,11,4,0,105.0,Delhi Store,1019.0,Webcam,389885.41,659.0,591.63,507250.88,284658.2,322995.27,389885.41,330804.5814999998
2026-11-10,2026,11,4,1,109.0,Jaipur Store,1006.0,Printer,455848.74,723.0,630.5,389885.41,209332.5,358211.87,455848.74,277714.13259999995
2026-11-11,2026,11,4,2,105.0,Delhi Store,1004.0,Keyboard,360734.52,539.0,669.27,455848.74,193004.19,382173.35,360734.52,275474.58389999997
2026-11-12,2026,11,4,3,110.0,Kochi Store,1013.0,Camera,287968.34,516.0,558.08,360734.52,347324.53,373693.89,287968.34,302211.30829999986
2026-11-13,2026,11,4,4,109.0,Jaipur Store,1008.0,Tablet,412465.3,647.0,637.5,287968.34,314271.78,387721.54,412465.3,322055.03969999985
2026-11-14,2026,11,4,5,101.0,Bangalore Store,1002.0,Desktop,263978.74,409.0,645.42,412465.3,299897.58,382590.28,263978.74,383295.81759999983
2026-11-15,2026,11,4,6,101.0,Bangalore Store,1006.0,Printer,335021.3,598.0,560.24,263978.74,507250.88,357986.05,335021.3,322002.27530000004
2026-11-16,2026,11,4,0,101.0,Bangalore Store,1013.0,Camera,272947.08,417.0,654.55,335021.3,389885.41,341280.57,272947.08,254833.16360000003
2026-11-17,2026,11,4,1,104.0,Mumbai Store,1007.0,Scanner,238502.85,377.0,632.63,272947.08,455848.74,310231.16,238502.85,254165.8642
2026-11-18,2026,11,4,2,107.0,Kolkata Store,1006.0,Printer,360603.02,546.0,660.45,238502.85,360734.52,310212.38,360603.02,275271.84010000003
2026-11-19,2026,11,4,3,108.0,Ahmedabad Store,1001.0,Laptop,184650.05,284.0,650.18,360603.02,287968.34,295452.62,184650.05,311185.2976999998
2026-11-20,2026,11,4,4,103.0,Chennai Store,1015.0,Hard Disk,122464.55,181.0,676.6,184650.05,412465.3,254023.94,122464.55,233572.6099
2026-11-21,2026,11,4,5,106.0,Pune Store,1014.0,SSD,284237.25,471.0,603.48,122464.55,263978.74,256918.01,284237.25,275126.88169999997
2026-11-22,2026,11,4,6,106.0,Pune Store,1018.0,Projector,258408.61,414.0,624.18,284237.25,335021.3,245973.34,258408.61,279275.66280000005
2026-11-23,2026,11,4,0,106.0,Pune Store,1016.0,Router,380680.57,718.0,530.2,258408.61,272947.08,261363.84,380680.57,288973.46059999976
2026-11-24,2026,11,4,1,110.0,Kochi Store,1003.0,Monitor,232381.52,453.0,512.98,380680.57,238502.85,260489.37,232381.52,291270.0369999997
2026-11-25,2026,11,4,2,101.0,Bangalore Store,1003.0,Monitor,153201.36,224.0,683.93,232381.52,360603.02,230860.56,153201.36,164183.92339999983
2026-11-26,2026,11,4,3,105.0,Delhi Store,1003.0,Monitor,85052.6,138.0,616.32,153201.36,184650.05,216632.35,85052.6,242655.67040000006
2026-11-27,2026,11,4,4,101.0,Bangalore Store,1004.0,Keyboard,257769.03,376.0,685.56,85052.6,122464.55,235961.56,257769.03,237506.6926000001
2026-11-28,2026,11,4,5,103.0,Chennai Store,1003.0,Monitor,417834.68,736.0,567.71,257769.03,284237.25,255046.91,417834.68,261919.1754999999
2026-11-29,2026,11,4,6,103.0,Chennai Store,1011.0,Headphones,194018.16,354.0,548.07,417834.68,258408.61,245848.27,194018.16,271861.63870000007
2026-11-30,2026,11,4,0,103.0,Chennai Store,1011.0,Headphones,236237.49,423.0,558.48,194018.16,380680.57,225213.55,236237.49,186724.91219999996
2026-12-01,2026,12,4,1,105.0,Delhi Store,1019.0,Webcam,226910.37,339.0,669.35,236237.49,232381.52,224431.96,226910.37,219645.14429999999
2026-12-02,2026,12,4,2,104.0,Mumbai Store,1006.0,Printer,146967.35,224.0,656.1,226910.37,153201.36,223541.38,146967.35,210493.53709999996
2026-12-03,2026,12,4,3,107.0,Kolkata Store,1018.0,Projector,272083.74,464.0,586.39,146967.35,85052.6,250260.12,272083.74,241230.9263000001
2026-12-04,2026,12,4,4,109.0,Jaipur Store,1009.0,Mobile,197598.65,392.0,504.08,272083.74,257769.03,241664.35,197598.65,236790.82959999994
2026-12-05,2026,12,4,5,101.0,Bangalore Store,1015.0,Hard Disk,146558.37,247.0,593.35,197598.65,417834.68,202910.59,146558.37,198218.71999999988
2026-12-06,2026,12,4,6,102.0,Hyderabad Store,1020.0,Microphone,160864.22,296.0,543.46,146558.37,194018.16,198174.31,160864.22,290185.4978000001
2026-12-07,2026,12,4,0,108.0,Ahmedabad Store,1020.0,Microphone,296476.55,503.0,589.42,160864.22,236237.49,206779.89,296476.55,180632.5975999999
2026-12-08,2026,12,4,1,102.0,Hyderabad Store,1005.0,Mouse,331919.6,632.0,525.19,296476.55,226910.37,221781.21,331919.6,206293.63559999995
2026-12-09,2026,12,4,2,108.0,Ahmedabad Store,1012.0,Speaker,135709.18,257.0,528.05,331919.6,146967.35,220172.9,135709.18,194467.36010000005
2026-12-10,2026,12,4,3,108.0,Ahmedabad Store,1017.0,UPS,352080.93,523.0,673.19,135709.18,272083.74,231601.07,352080.93,255586.38430000012
2026-12-11,2026,12,4,4,107.0,Kolkata Store,1016.0,Router,388156.23,661.0,587.23,352080.93,197598.65,258823.58,388156.23,293383.82280000014
2026-12-12,2026,12,4,5,109.0,Jaipur Store,1003.0,Monitor,182890.82,295.0,619.97,388156.23,146558.37,264013.93,182890.82,326584.6831000001
2026-12-13,2026,12,4,6,109.0,Jaipur Store,1008.0,Tablet,458366.18,735.0,623.63,182890.82,160864.22,306514.21,458366.18,300165.843
2026-12-14,2026,12,4,0,107.0,Kolkata Store,1012.0,Speaker,386524.71,757.0,510.6,458366.18,296476.55,319378.24,386524.71,348099.46659999987
2026-12-15,2026,12,4,1,102.0,Hyderabad Store,1018.0,Projector,147125.61,244.0,602.97,386524.71,331919.6,292979.09,147125.61,315102.12640000007
2026-12-16,2026,12,4,2,108.0,Ahmedabad Store,1010.0,Smart Watch,188368.52,298.0,632.11,147125.61,135709.18,300501.86,188368.52,242591.53520000016
2026-12-17,2026,12,4,3,105.0,Delhi Store,1008.0,Tablet,90281.92,149.0,605.92,188368.52,352080.93,263102.0,90281.92,323026.47820000025
2026-12-18,2026,12,4,4,108.0,Ahmedabad Store,1010.0,Smart Watch,188104.39,351.0,535.91,90281.92,388156.23,234523.16,188104.39,227672.12300000005
2026-12-19,2026,12,4,5,105.0,Delhi Store,1004.0,Keyboard,210043.19,357.0,588.36,188104.39,182890.82,238402.07,210043.19,292585.64480000007
2026-12-20,2026,12,4,6,108.0,Ahmedabad Store,1002.0,Desktop,497258.33,835.0,595.52,210043.19,458366.18,243958.1,497258.33,248902.7332999999
2026-12-21,2026,12,4,0,105.0,Delhi Store,1006.0,Printer,287029.64,427.0,672.2,497258.33,386524.71,229744.51,287029.64,199187.5314999998
2026-12-22,2026,12,4,1,107.0,Kolkata Store,1017.0,UPS,431470.8,776.0,556.02,287029.64,147125.61,270365.26,431470.8,244329.95990000002
2026-12-23,2026,12,4,2,107.0,Kolkata Store,1010.0,Smart Watch,226992.45,336.0,675.57,431470.8,188368.52,275882.96,226992.45,277050.64280000003
2026-12-24,2026,12,4,3,102.0,Hyderabad Store,1019.0,Webcam,440469.13,856.0,514.57,226992.45,90281.92,325909.7,440469.13,261391.10460000008
2026-12-25,2026,12,4,4,107.0,Kolkata Store,1007.0,Scanner,401986.99,621.0,647.32,440469.13,188104.39,356464.36,401986.99,314398.28489999997
2026-12-26,2026,12,4,5,110.0,Kochi Store,1018.0,Projector,405065.87,603.0,671.75,401986.99,210043.19,384324.74,405065.87,325341.23279999977
2026-12-27,2026,12,4,6,106.0,Pune Store,1019.0,Webcam,248969.44,481.0,517.61,405065.87,497258.33,348854.9,248969.44,382306.06499999994
2026-12-28,2026,12,4,0,107.0,Kolkata Store,1007.0,Scanner,371982.48,581.0,640.25,248969.44,287029.64,360991.02,371982.48,297209.9672
2026-12-29,2026,12,4,1,101.0,Bangalore Store,1017.0,UPS,275154.24,467.0,589.2,371982.48,431470.8,338660.09,275154.24,286777.9911000001
2026-12-30,2026,12,4,2,106.0,Pune Store,1004.0,Keyboard,528516.28,801.0,659.82,275154.24,226992.45,381734.92,528516.28,267248.2337999999
2026-12-31,2026,12,4,3,106.0,Pune Store,1006.0,Printer,244817.04,373.0,656.35,528516.28,440469.13,353784.62,244817.04,354123.95450000005
